timestamp,tool,workers,concurrency,duration_sec,rps,transfer_sec_human,transfer_bytes_sec,latency_ms,failed_requests,connect_errors,read_errors,write_errors,timeout_errors,stop_reason
2026-03-05T12:35:03Z,wrk,8,150,8,23576.97,11.76MB,12331253.760,3.750,0,0,0,0,0,continue
2026-03-05T12:35:11Z,wrk,8,250,8,23335.06,11.64MB,12205424.640,6.170,0,0,0,0,0,continue
2026-03-05T12:35:19Z,wrk,8,350,8,22900.46,11.42MB,11974737.920,8.390,0,0,0,0,0,continue
2026-03-05T12:35:27Z,wrk,8,450,8,21506.27,10.73MB,11251220.480,10.070,0,0,0,0,0,continue
2026-03-05T12:35:35Z,wrk,8,550,8,21789.75,10.87MB,11398021.120,11.490,0,0,0,0,0,continue
2026-03-05T12:35:43Z,wrk,8,650,8,21638.44,10.79MB,11314135.040,13.720,0,0,0,0,0,continue
2026-03-05T12:35:52Z,wrk,8,750,8,21249.09,10.60MB,11114905.600,16.730,0,0,0,0,0,continue
2026-03-05T12:36:00Z,wrk,8,850,8,21253.15,10.60MB,11114905.600,18.910,0,0,0,0,0,continue
2026-03-05T12:36:08Z,wrk,8,950,8,21341.75,10.64MB,11156848.640,21.220,0,0,0,0,0,continue
2026-03-05T12:36:16Z,wrk,8,1050,8,21232.58,10.59MB,11104419.840,22.750,31,31,0,0,0,first_socket_error
2026-03-05T12:36:25Z,wrk,16,50,8,20243.28,10.10MB,10590617.600,1.360,0,0,0,0,0,continue
2026-03-05T12:36:33Z,wrk,16,150,8,23268.66,11.61MB,12173967.360,3.540,0,0,0,0,0,continue
2026-03-05T12:36:41Z,wrk,16,250,8,23042.02,11.49MB,12048138.240,5.440,0,0,0,0,0,continue
2026-03-05T12:36:49Z,wrk,16,350,8,22223.64,11.08MB,11618222.080,7.110,0,0,0,0,0,continue
2026-03-05T12:36:58Z,wrk,16,450,8,21627.40,10.79MB,11314135.040,9.290,0,0,0,0,0,continue
2026-03-05T12:37:06Z,wrk,16,550,8,21861.79,10.90MB,11429478.400,11.370,0,0,0,0,0,continue
2026-03-05T12:37:14Z,wrk,16,650,8,20873.77,10.41MB,10915676.160,12.930,0,0,0,0,0,continue
2026-03-05T12:37:22Z,wrk,16,750,8,21398.99,10.67MB,11188305.920,15.120,0,0,0,0,0,continue
2026-03-05T12:37:30Z,wrk,16,850,8,20830.84,10.39MB,10894704.640,17.260,0,0,0,0,0,continue
2026-03-05T12:37:38Z,wrk,16,950,8,21249.96,10.60MB,11114905.600,19.020,0,0,0,0,0,continue
2026-03-05T12:37:46Z,wrk,16,1050,8,21198.49,10.57MB,11083448.320,21.160,31,31,0,0,0,first_socket_error
2026-03-05T12:37:57Z,wrk,4,50,8,22963.88,11.45MB,12006195.200,1.430,0,0,0,0,0,continue
2026-03-05T12:38:05Z,wrk,4,150,8,23873.47,11.91MB,12488540.160,3.950,0,0,0,0,0,continue
2026-03-05T12:38:13Z,wrk,4,250,8,23354.68,11.65MB,12215910.400,6.630,0,0,0,0,0,continue
2026-03-05T12:38:21Z,wrk,4,350,8,23083.08,11.51MB,12069109.760,9.730,0,0,0,0,0,continue
2026-03-05T12:38:29Z,wrk,4,450,8,22640.08,11.29MB,11838423.040,13.000,0,0,0,0,0,continue
2026-03-05T12:38:37Z,wrk,4,550,8,22432.97,11.19MB,11733565.440,14.730,0,0,0,0,0,continue
2026-03-05T12:38:46Z,wrk,4,650,8,22206.10,11.08MB,11618222.080,17.510,0,0,0,0,0,continue
2026-03-05T12:38:54Z,wrk,4,750,8,22804.74,11.37MB,11922309.120,17.940,0,0,0,0,0,continue
2026-03-05T12:39:02Z,wrk,4,850,8,21857.06,10.90MB,11429478.400,20.260,0,0,0,0,0,continue
2026-03-05T12:39:10Z,wrk,4,950,8,21135.35,10.54MB,11051991.040,21.790,0,0,0,0,0,continue
2026-03-05T12:39:18Z,wrk,4,1050,8,22748.29,11.35MB,11901337.600,21.870,31,31,0,0,0,first_socket_error
2026-03-05T12:39:27Z,wrk,8,50,8,21712.76,10.83MB,11356078.080,1.380,0,0,0,0,0,continue
2026-03-05T12:39:35Z,wrk,8,150,8,23823.70,11.88MB,12457082.880,3.760,0,0,0,0,0,continue
2026-03-05T12:39:43Z,wrk,8,250,8,23261.01,11.60MB,12163481.600,5.860,0,0,0,0,0,continue
2026-03-05T12:39:52Z,wrk,8,350,8,22421.46,11.18MB,11723079.680,8.000,0,0,0,0,0,continue
2026-03-05T12:40:00Z,wrk,8,450,8,22211.22,11.08MB,11618222.080,9.680,0,0,0,0,0,continue
2026-03-05T12:40:08Z,wrk,8,550,8,22003.16,10.97MB,11502878.720,11.730,0,0,0,0,0,continue
2026-03-05T12:40:16Z,wrk,8,650,8,21876.82,10.91MB,11439964.160,14.550,0,0,0,0,0,continue
2026-03-05T12:40:24Z,wrk,8,750,8,21137.62,10.54MB,11051991.040,16.570,0,0,0,0,0,continue
2026-03-05T12:40:32Z,wrk,8,850,8,21498.17,10.72MB,11240734.720,18.500,0,0,0,0,0,continue
2026-03-05T12:40:40Z,wrk,8,950,8,21171.80,10.56MB,11072962.560,21.330,0,0,0,0,0,continue
2026-03-05T12:40:48Z,wrk,8,1050,8,20557.33,10.25MB,10747904.000,23.010,31,31,0,0,0,first_socket_error
2026-03-05T12:40:57Z,wrk,16,50,8,20834.18,10.39MB,10894704.640,1.340,0,0,0,0,0,continue
2026-03-05T12:41:06Z,wrk,16,150,8,23014.74,11.48MB,12037652.480,3.540,0,0,0,0,0,continue
2026-03-05T12:41:14Z,wrk,16,250,8,22823.53,11.38MB,11932794.880,5.430,0,0,0,0,0,continue
2026-03-05T12:41:22Z,wrk,16,350,8,21928.65,10.94MB,11471421.440,7.530,0,0,0,0,0,continue
2026-03-05T12:41:30Z,wrk,16,450,8,21867.45,10.91MB,11439964.160,9.010,0,0,0,0,0,continue
2026-03-05T12:41:38Z,wrk,16,550,8,21615.48,10.78MB,11303649.280,11.150,0,0,0,0,0,continue
2026-03-05T12:41:46Z,wrk,16,650,8,21905.61,10.93MB,11460935.680,13.430,0,0,0,0,0,continue
2026-03-05T12:41:54Z,wrk,16,750,8,21231.68,10.59MB,11104419.840,15.930,0,0,0,0,0,continue
2026-03-05T12:42:02Z,wrk,16,850,8,21737.94,10.84MB,11366563.840,17.940,0,0,0,0,0,continue
2026-03-05T12:42:10Z,wrk,16,950,8,20416.64,10.18MB,10674503.680,19.240,0,0,0,0,0,continue
2026-03-05T12:42:19Z,wrk,16,1050,8,20655.58,10.30MB,10800332.800,20.550,31,31,0,0,0,first_socket_error
2026-03-05T12:42:29Z,wrk,4,50,8,22846.90,11.40MB,11953766.400,1.450,0,0,0,0,0,continue
2026-03-05T12:42:37Z,wrk,4,150,8,23855.73,11.90MB,12478054.400,3.990,0,0,0,0,0,continue
2026-03-05T12:42:45Z,wrk,4,250,8,23630.85,11.79MB,12362711.040,6.630,0,0,0,0,0,continue
2026-03-05T12:42:54Z,wrk,4,350,8,21397.83,10.67MB,11188305.920,10.730,0,0,0,0,0,continue
2026-03-05T12:43:02Z,wrk,4,450,8,20086.88,10.02MB,10506731.520,14.620,0,0,0,0,0,continue
2026-03-05T12:43:10Z,wrk,4,550,8,21428.81,10.69MB,11209277.440,16.110,0,0,0,0,0,continue
2026-03-05T12:43:18Z,wrk,4,650,8,21259.27,10.60MB,11114905.600,18.420,0,0,0,0,0,continue
2026-03-05T12:43:26Z,wrk,4,750,8,21215.73,10.58MB,11093934.080,19.950,0,0,0,0,0,continue
2026-03-05T12:43:34Z,wrk,4,850,8,21340.21,10.64MB,11156848.640,21.770,0,0,0,0,0,continue
2026-03-05T12:43:42Z,wrk,4,950,8,21321.35,10.63MB,11146362.880,21.670,0,0,0,0,0,continue
2026-03-05T12:43:50Z,wrk,4,1050,8,21334.79,10.64MB,11156848.640,22.620,31,31,0,0,0,first_socket_error
2026-03-05T12:43:59Z,wrk,8,50,8,22572.70,11.26MB,11806965.760,1.400,0,0,0,0,0,continue
2026-03-05T12:44:08Z,wrk,8,150,8,23641.69,11.79MB,12362711.040,3.760,0,0,0,0,0,continue
2026-03-05T12:44:16Z,wrk,8,250,8,23485.89,11.71MB,12278824.960,5.980,0,0,0,0,0,continue
2026-03-05T12:44:24Z,wrk,8,350,8,22647.28,11.30MB,11848908.800,8.330,0,0,0,0,0,continue
