timestamp,tool,concurrency,duration_sec,rps,latency_ms,failed_requests,stop_threshold
2026-03-03T13:15:40Z,wrk,100,8,17206.49,3.750,0,50
2026-03-03T13:15:48Z,wrk,200,8,14997.48,6.750,0,50
2026-03-03T13:15:56Z,wrk,300,8,18444.11,6.840,0,50
2026-03-03T13:16:04Z,wrk,400,8,16671.04,11.230,0,50
2026-03-03T13:16:12Z,wrk,500,8,18263.77,22.010,0,50
2026-03-03T13:16:20Z,wrk,600,8,18655.60,27.450,0,50
2026-03-03T13:16:28Z,wrk,700,8,17592.98,17.600,0,50
2026-03-03T13:16:36Z,wrk,800,8,18482.28,34.510,0,50
2026-03-03T13:16:44Z,wrk,900,8,17702.32,21.740,29,50
2026-03-03T13:16:53Z,wrk,1000,8,18678.42,26.270,18,50
2026-03-03T13:17:01Z,wrk,1100,8,18083.76,18.930,128,50
2026-03-03T13:17:09Z,wrk,1200,8,18527.71,23.360,194,50
2026-03-03T13:17:17Z,wrk,1300,8,18031.87,20.450,283,50
2026-03-03T13:17:25Z,wrk,1400,8,18050.91,29.290,388,50
2026-03-03T13:17:33Z,wrk,1500,8,18474.71,15.500,516,50
2026-03-03T13:17:41Z,wrk,1600,8,18064.64,27.460,583,50
2026-03-03T13:17:49Z,wrk,1700,8,17308.41,13.690,695,50
2026-03-03T13:17:58Z,wrk,1800,8,17958.36,16.390,801,50
2026-03-03T13:18:06Z,wrk,1900,8,17176.99,17.310,895,50
2026-03-03T13:18:14Z,wrk,2000,8,18031.21,9.440,983,50
2026-03-03T13:18:22Z,wrk,2100,8,18346.40,12.200,1083,50
2026-03-03T13:18:30Z,wrk,2200,8,18436.59,10.680,1185,50
2026-03-03T13:18:38Z,wrk,2300,8,17573.58,17.730,1283,50
2026-03-03T13:18:46Z,wrk,2400,8,18541.11,18.510,1426,50
2026-03-03T13:18:54Z,wrk,2500,8,18751.05,13.750,1483,50
2026-03-03T13:19:02Z,wrk,2600,8,18282.44,16.190,1583,50
2026-03-03T13:19:11Z,wrk,2700,8,18471.62,9.980,1713,50
2026-03-03T13:19:19Z,wrk,2800,8,17715.65,16.430,1823,50
2026-03-03T13:19:27Z,wrk,2900,8,17588.02,19.760,1884,50
2026-03-03T13:19:35Z,wrk,3000,8,18096.21,10.980,2034,50
2026-03-03T13:19:43Z,wrk,3100,8,18056.73,10.200,2101,50
2026-03-03T13:19:51Z,wrk,3200,8,18397.31,8.450,2183,50
2026-03-03T13:19:59Z,wrk,3300,8,18181.55,17.560,2360,50
2026-03-03T13:20:07Z,wrk,3400,8,18192.60,14.700,2430,50
2026-03-03T13:20:16Z,wrk,3500,8,18118.89,11.230,2526,50
2026-03-03T13:20:24Z,wrk,3600,8,18905.78,14.810,2722,50
2026-03-03T13:20:32Z,wrk,3700,8,18494.14,14.080,2686,50
2026-03-03T13:20:40Z,wrk,3800,8,18029.61,11.810,2949,50
2026-03-03T13:20:48Z,wrk,3900,8,17691.02,12.160,2884,50
2026-03-03T13:20:56Z,wrk,4000,8,18321.25,9.710,3022,50
2026-03-03T13:21:04Z,wrk,4100,8,17977.61,11.500,3114,50
2026-03-03T13:21:12Z,wrk,4200,8,18033.62,15.140,3206,50
2026-03-03T13:21:20Z,wrk,4300,8,18448.10,8.750,3283,50
2026-03-03T13:21:29Z,wrk,4400,8,17778.03,10.730,3519,50
2026-03-03T13:21:37Z,wrk,4500,8,16913.00,13.420,3483,50
2026-03-03T13:21:45Z,wrk,4600,8,17924.87,8.740,3583,50
2026-03-03T13:21:53Z,wrk,4700,8,18200.97,9.340,3698,50
2026-03-03T13:22:01Z,wrk,4800,8,17737.45,9.550,3783,50
2026-03-03T13:22:09Z,wrk,4900,8,17654.02,12.590,3883,50
2026-03-03T13:22:17Z,wrk,5000,8,17545.34,12.360,4083,50
2026-03-03T13:22:25Z,wrk,5100,8,17866.06,9.420,4101,50
2026-03-03T13:22:34Z,wrk,5200,8,18055.47,8.390,4183,50
2026-03-03T13:22:42Z,wrk,5300,8,18411.17,13.960,4303,50
